order,pet_id,name,status,note
59,3053,害羞球球,RocoData??,source=PETBASE_CONF; desc=有时会将头上的部分发射出去，但不论多远都能收回来。似乎还有一种说法认为上面的部分才是本体，害羞地把自己隐藏了起来。
60,3054,害羞球球,RocoData??,source=PETBASE_CONF; desc=身上有着大块石英材质，就像穿着衣服一样。对石头的操控非常熟练，能够利用头上悬浮的散石发动难以预测的攻击。
61,3055,板板壳,RocoData??,source=PETBASE_CONF; desc=平时看似懒懒的，感到危险时，柔软的身体会迅速缩回壳里。柔韧的尾巴看起来像海草，偶尔会被饥饿的水生精灵咬一口。
62,3056,咔咔壳,RocoData??,source=PETBASE_CONF; desc=很少再缩进壳里，即使遇到危险也会勇敢面对。甲壳内一部分是空气，一部分是水，通过喷嘴来调节重量从而在水中下潜和上浮。
63,3057,水泡壳,RocoData??,source=PETBASE_CONF; desc=进化之后体重增长到原来的三倍多，前肢的力量也变得十分发达。前面有坚硬的尖角，背后有甲壳和水炮的泵口，是像堡垒一样可靠的存在。
64,3058,一窝蜂,RocoData??,source=PETBASE_CONF; desc=悬浮着的蜂巢就像身体的一部分一样灵活运动。可能是受某种信息素或者魔法影响，总会默契地做出协同的动作。
65,3059,黄蜂后,RocoData??,source=PETBASE_CONF; desc=在蜂后的下半身周围有能量波动，推测是用来建立两只小蜂的联系。战斗时，蜂后的两眼会变成红色，针刺也会变得锋利无比。
66,3060,小灵面,RocoData??,source=PETBASE_CONF; desc=面具似乎可以摘下，进食的时候会避开所有生物。一层闪着荧光的神秘物质覆盖着身体，内部可能是液体。
67,3061,暗影灵面,RocoData??,source=PETBASE_CONF; desc=被两团冷火环绕着，从头到脚都充满了谜团。进食之后重量也毫不增加，被它面具下的嘴吞下的食物仿佛消失了一样。
68,3062,小独角兽,RocoData??,source=PETBASE_CONF; desc=漂亮柔软的绿色鬃毛，让谁看了都想抚摸一下。不知是不是它散发出的魔力的缘故，在它的身边会感觉心灵也变得纯净了。
69,3063,白金独角兽,RocoData??,source=PETBASE_CONF; desc=在黑暗中能够照亮周围，像神明一般圣洁而华丽。头顶的角除了穿刺敌人，还能施放出让人震撼的强大魔法冲击。
70,3064,幽影树,RocoData??,source=PETBASE_CONF; desc=左手和右手似乎有独自的想法，在黑暗中看起来就像三只精灵。虽然伪装拙劣到谁都能看穿的程度，但依旧喜欢伪装成普通树木的样子，跟在洛克身后，但是对洛克并没有恶意。
71,3065,忽幽狸,RocoData??,source=PETBASE_CONF; desc=忽幽狸的尾巴覆盖着剧毒尖刺，静止时会伪装成灌木枝条。当感知到危险，尾巴会瞬间硬化成防御姿态，刺尖分泌的神经毒素能使猎物肌肉僵直。检测显示，其毒素对草系精灵效果?
72,3066,影狸,RocoData??,source=PETBASE_CONF; desc=总是弓着身子，脊椎特化为毒刺弹射装置，用来发射尾巴上的尖刺。体内另外储存了几十根可再生的空心毒刺，通过弹射加压能以每秒10发的速度喷射。
73,3067,卷毛鸭,RocoData??,source=PETBASE_CONF; desc=身形与洛克近似，空洞的目光仿佛若有所思。头顶的毛发十分柔软，自然卷曲，这在鸭精灵中十分少见。
74,3069,锤头鹳,RocoData??,source=PETBASE_CONF; desc=三三两两地站在建筑的高处，有些神秘，被认为是王国的守护者。洛克靠近时，会发出尖锐刺耳的声音，头部奇怪的形状为工具设计提供了设计灵感。
75,3070,护主犬,RocoData??,source=PETBASE_CONF; desc=时刻保持着警觉，任何危险都无法逃过他的眼睛。虽然身形小巧，但面对无论多么凶猛庞大的敌人都会勇敢地燃起斗志。
76,3071,音速犬,RocoData??,source=PETBASE_CONF; desc=昂起斗志时，冠毛和尾巴会像熊熊燃烧的火焰一样摇曳。身上的围巾蕴含魔法能量，似乎有增强火元素的效果。
77,3072,格兰种子,RocoData??,source=PETBASE_CONF; desc=格兰种子可以借助微风悬于空中，总是呆呆地望着对方，其实脑袋里盘算着许多鬼点子。体内花粉不停生长，使它躁动不安，总是忍不住捉弄其他精灵。
78,3073,格兰花,RocoData??,source=PETBASE_CONF; desc=格兰花头顶可喷射出具有不同功效的花粉，花粉沾身会致痒。它总是带着些许挑衅的眼神看着对方，似乎有意识地引诱对方来打自己，被打能帮它挠痒痒，而击打它时还会传播其花?
79,3074,格兰球,RocoData??,source=PETBASE_CONF; desc=格兰球的花瓣持续生长与更替，老化花瓣会化作鳞片般的护甲。护甲上黏附诸多致痒花粉，它们热衷于边笑边蹭其他精灵。但洛克研究学者经观察其表情和动作发现，它们坏笑时鳞?
80,3075,灵狐,RocoData??,source=PETBASE_CONF; desc=鼻子呼出热热的气可能会灼伤小洛克的手，如果在雪山不小心被冻伤，去拜托灵狐帮忙吹一口热气，冻伤瞬间就会痊愈了。
81,3076,九尾狐,RocoData??,source=PETBASE_CONF; desc=尾巴里储存着强大的魔力，能够释放一种特殊的雪魔法，保护越冬作物免受冻害、消灭土壤中害虫，如果在冬天的农田里看到九尾狐出现，就知道明年一定会丰收。
82,3077,尖嘴狐仙,RocoData??,source=PETBASE_CONF; desc=尖嘴狐仙能通过感知大地的温度变化来预测农时。当它摇着尾巴经过农田时，尾巴扇动的气流会形成特殊的暖湿环流，让田地在寒冷的初春也能保持适宜作物生长的温度。
83,3078,烈钻鸟,RocoData??,source=PETBASE_CONF; desc=羽毛上的花纹预示着它是会使用火焰的鸟精灵。快速地啄击树木的话，会把整颗大树燃烧起来。
84,3079,长尾火鸟,RocoData??,source=PETBASE_CONF; desc=尾巴上有一对弯月状的羽毛，仿佛是地位的象征。头上的钻石如果受到刺激会爆发出强烈的火焰。
85,3080,火羽,RocoData??,source=PETBASE_CONF; desc=在空中飞翔的时候火焰也席卷全身，好像天空中划过一道火痕。和想象的不同，飞翔的力量更多来自它尾部喷射的火焰，而不是翅膀。
86,3081,治愈兔,RocoData??,source=PETBASE_CONF; desc=平时生活在灌木丛中，看到洛克的话会因为好奇而主动靠近。据说如果感冒了的小洛克摸摸它的小脚，就会很快康复。
87,3082,红丝绒,RocoData??,source=PETBASE_CONF; desc=绒毛里储存着温和的火系能量，抱在怀里就像一个小暖炉，身体散发出煎药的香味。它特别喜欢照顾受伤的精灵，会用温暖的鼻息轻轻吹拂伤口，伤口就不痛了。
88,3083,可爱猿,RocoData??,source=PETBASE_CONF; desc=头顶着活跃的微型火山，就连睡觉时也会冒出小烟圈。可别因为体型而小看了它，可爱猿头上流出的熔岩就连钢铁也能融化。
89,3084,炽热猿,RocoData??,source=PETBASE_CONF; desc=会从头上喷出烟来彰显气势，普遍好斗。打喷嚏的时候，背上也会跟着喷出巨大的浓烟，还会洒出一些岩浆。
90,3085,火焰猿,RocoData??,source=PETBASE_CONF; desc=哪怕是休息的时候，也像沉睡的火山一样危险。岩浆涌动的身体需要经常添加燃料，偶尔会把吃不完的食物丢到头顶的火山口里燃尽。
91,3086,可立鸡,RocoData??,source=PETBASE_CONF; desc=鸡冠有特殊腺体分泌可燃气体，情绪激动时，鸡冠会熊熊燃烧。为了便于警戒，可立鸡会排成一队，由鸡冠火焰最旺盛的个体来带领。
92,3087,晕晕鸡,RocoData??,source=PETBASE_CONF; desc=成长后学会了控制情绪，维持着绅士风度，为了追求优雅和游刃有余，逐渐更能控制火焰释放。偶尔会因为忍耐过度，大脑变得晕乎乎的。
93,3088,绅士鸡,RocoData??,source=PETBASE_CONF; desc=充满高尚气度的种群，常把一只手放在身后。手中的羽毛可以喷射火焰，制造独特而优雅的攻击。
94,3089,武者鸡,RocoData??,source=PETBASE_CONF; desc=极其发达健壮的双臂是它们的标志性特征，手部演变为锋利的钙化物质。这一分支舍弃了种族遗传下来的火焰魔法，堂堂正正地用双手和踢腿打败敌人。
95,3090,火尾瓦特,RocoData??,source=PETBASE_CONF; desc=全身被毛又干燥又粗糙，容易产生静电现象，甚至偶尔冒出火星。它的利爪有可能是打火石，连续抓挠树木的话可能会将树木点燃。
96,3091,火尾战士,RocoData??,source=PETBASE_CONF; desc=经常看到它在磨爪子，磨得发烫了才会停下。在战斗前会加热自己的身体以提升力量，有时甚至会让整个头顶的毛发燃烧起来。
97,3092,烈火守护,RocoData??,source=PETBASE_CONF; desc=在草原上全速奔跑的时候时常引发火灾。毛发蓬松且疏水，毛发内部均能发现未燃尽的火星。被驯服后性情极其温顺。
98,3093,呆小路,RocoData??,source=PETBASE_CONF; desc=幼年期较长，主要靠嗅闻、聆听和头上叶子的触觉来获取信息。头顶毛发会散发出爆米花的香味，偶尔引来其他精灵。它们之间用互闻头顶代表问候。
99,3094,舞动路路,RocoData??,source=PETBASE_CONF; desc=每只舞动路路都携带着一颗蛋，经常看到它们用头上的毛发擦拭蛋，那是它们最珍视的一部分。蓬松的毛发下看不到眼睛，主要靠头上的叶片来感受环境，身体非常灵活。
100,3095,白发路路,RocoData??,source=PETBASE_CONF; desc=白色的毛发覆盖手臂和身体，随身携带的蛋散发出爆米花的香味。能从随身携带的蛋中获得勇气和力量，暂时还不清楚是什么原理。
101,3097,灵蔓草王,RocoData??,source=PETBASE_CONF; desc=身形修长而优雅，身边围绕的藤蔓一边枯萎凋零，新芽却又在枯萎处悄然生长，进行着生命的轮回，掌控着生命与死亡的力量。
102,3098,绿耳松鼠,RocoData??,source=PETBASE_CONF; desc=能靠有力的尾巴弹跳，如果摔倒了，要花一阵子才能重新靠尾巴站立，有研究猜测它们足部功能有所退化，尾部功能非常发达，部分取代了双脚的作用。
103,3099,抱枕松鼠,RocoData??,source=PETBASE_CONF; desc=骑着自己的尾巴，已经不需要靠双脚走路。偶尔把头埋进身体，看上去像一颗巨大的果实。
104,3100,蹦床松鼠,RocoData??,source=PETBASE_CONF; desc=尾巴的力量非常强，巨大的尾部并不是蓬松的，内部有着强健的肌肉，实心并且富有弹性。可以用尾巴把自己弹射到三层楼那么高的地方。
105,3101,动力猿,RocoData??,source=PETBASE_CONF; desc=有一半的时间在睡觉，极少保持清醒，清醒时精力极其旺盛。会使劲捶打胸口努力让自己变得清醒，但是卖力地运动过后睡得更沉了。
106,3102,瞌睡王,RocoData??,source=PETBASE_CONF; desc=比较难找到它的眼睛，主要靠鼾声来判断它是不是醒着。即使危险就在面前也能睡得香香的，或许是强大的体格给了它这样做的底气。
107,3103,布是石,RocoData??,source=PETBASE_CONF; desc=如果感觉岩石的缝隙中有目光注视着你，那很可能就是布是石。身体非常坚硬，喜欢成群结队地斜坡上滚下来，也许只有它们能感受这种快乐吧。
108,3104,布是岩,RocoData??,source=PETBASE_CONF; desc=脑袋部分的坚硬度接近基岩，普通的岩石对它来说就像泥土一样柔软。它的头好像完全感觉不到疼，受到击打很久之后才能明白刚才发生了什么。
109,3105,布克棱岩,RocoData??,source=PETBASE_CONF; desc=颇具威慑力的精灵，身形巨大，不经常远离驻地。看上去很重，但其实身体的主要重量都集中在头和手上的岩石部分。
110,3106,石肤蜥,RocoData??,source=PETBASE_CONF; desc=常在半山腰处被发现，独立生活，会收集细小的石头筑巢。背上的石头是体内生长出来的一种分泌物，喜欢钻到石头堆里蹭背，可以把背上的石头打磨得更锋利。
111,3107,石刺蜥,RocoData??,source=PETBASE_CONF; desc=背上的石头似乎会与身上的棘刺融为一体，成为自己的武器。石头会周期性脱落，脱落下来的石头苍白易碎，捏一下就会粉碎成细砂状。
112,3108,石冠王蜥,RocoData??,source=PETBASE_CONF; desc=普遍性情暴躁，攻击性强，会发射岩石来划清自己的地盘。它背上石头与身体融合的原理至今仍是研究协会重要的研究课题。
113,3109,仪使者,RocoData??,source=PETBASE_CONF; desc=在很久很久前被洛克族在遗迹的深处发现，可能已经有上千年的历史了。它的身体由宝石和贵重的金属组成，是被追求财富的人争抢的对象。
114,3110,仪式之星,RocoData??,source=PETBASE_CONF; desc=曾被误认为是雕像，但却有意识和情绪。传说它的身体上镶嵌的宝石象征三种元素。被认为是完美平衡的象征，有研究证明它能够感知或预测时间的流动。
115,3111,仪式巨像,RocoData??,source=PETBASE_CONF; desc=经过时间的洗礼，有些残缺的痕迹，是谜一般的存在，与其相关的研究记录十分少。但相反的这个种族似乎对洛克族十分了解和亲近。“也许生命会消失，从人们的记忆中淡忘，但?
116,3112,甜田螺,RocoData??,source=PETBASE_CONF; desc=它们进食较少，通过经常睡觉来维持体内养分的平衡。只有在海水退潮时才偶尔会出现在沙滩上，在醒着的时候才会立起来，每天大概只有五分之一的时间是醒着的。
117,3113,壳乙螺,RocoData??,source=PETBASE_CONF; desc=生活在螺壳里，似乎对壳外面的世界不太关心，多数时间都躲在壳内睡觉，对食物的香味比较敏感，可以用食物引诱出来。
118,3114,卡洛儿,RocoData??,source=PETBASE_CONF; desc=有些呆，不论交给它们什么东西，都会用心地放进自己的壳里。如果能找到办法和它们交流的话，它可能会从螺壳里拿出意想不到的东西作为礼物。
119,3115,风铃鲨,RocoData??,source=PETBASE_CONF; desc=如果看见它们在水面上大量聚集，往往预示着快要下雨。它们的尾巴摆动时带起细小涟漪，薄膜边缘会在气流中轻轻振动，发出清亮悦耳的声响。
120,3116,蓝蝶鲨,RocoData??,source=PETBASE_CONF; desc=它的身体构造至今难以完全解释：体内几乎都是水，身体被一层透明的膜包裹住，里面的液体非常轻。飞行时，由于压力变化或者风势太大，液体有时会漏出来。
121,3117,彩蝶鲨,RocoData??,source=PETBASE_CONF; desc=常被目击从水面贴风飞过，轻盈得几乎不留波纹，它飞行时会借气流而动，并且发出清亮的声音。危险逼近时，它会迅速褪淡体色，降低存在感，再沿风向逃跑。
122,3118,果冻,RocoData??,source=PETBASE_CONF; desc=透明而不起眼的精灵，经常在干净的水源被发现。研究发现，果冻精灵可以维护森林、湖泊和山脉的生态平衡，似乎是因为它们能让水变得清澈。
123,3119,翡翠水母,RocoData??,source=PETBASE_CONF; desc=柔软的精灵，通过收缩身体喷水在水中前进。会使用触手释放毒素，以此麻痹对手，然后将其拖入水中。
124,3120,琉璃水母,RocoData??,source=PETBASE_CONF; desc=身体的触手花纹会随心情变化，游动时非常漂亮。是海边生活的洛克的艺术灵感来源。然而它长长的触手可以释放多种效果的攻击，被它的美丽吸引注意时，可能会陷入危险哦。
125,3121,大耳帽兜,RocoData??,source=PETBASE_CONF; desc=全身覆满白色绒毛，能抵御寒冷，仔细观察它们的毛毛分为两种，一种是顺滑纤细的针毛，另一种是又软又密的绒毛。虽然体型小，但却不畏惧寒冷，小小的手爪柔软又温暖。似乎?
126,3122,帽兜娃娃,RocoData??,source=PETBASE_CONF; desc=头部浓密柔软的绒毛负责锁住热量，形成高效的保暖屏障，减少温度流失，兜帽形态的头部结构也可以有效防风。同种族喜欢聚集在一起，贴着脑袋，发热保暖。可能因为这种地缘?
127,3123,雪影娃娃,RocoData??,source=PETBASE_CONF; desc=进化后头部绒毛完全脱落，褪去的绒毛承载着进化前的回忆，被制作成一个毛绒娃娃。毛绒娃娃如果能抵御一个严冬就可以获得生命，过程中需要雪影娃娃的悉心养护。
128,3124,脆筒甜甜,RocoData??,source=PETBASE_CONF; desc=使用淡奶油、蛋黄搅拌加热后，冷冻1000小时以上，有极小概率得到一只香草甜甜。以蛋筒底为支点蹦跶着前行，受到惊吓时会缩到自己的蛋筒里瑟瑟发抖。
129,3125,香草甜甜,RocoData??,source=PETBASE_CONF; desc=香草甜甜一族口感各有不同，头上顶着的果果是身体的一部分，拥有360度的视野。因果果吸收不同能量而演化出不同口感分支，身体散发着浓郁的奶香。
130,3126,圣代甜甜,RocoData??,source=PETBASE_CONF; desc=喜欢群居的团结者，圣代甜甜诞生时就生有两颗冰淇淋球，相生相伴，两颗冰淇淋球口味性格不同却能一直融洽相处。
131,3127,小狮鹫,RocoData??,source=PETBASE_CONF; desc=只能勉强顶破头部的壳，剩余的蛋壳会陪伴小狮鹫度过幼年时期，能够保护尚且脆弱的羽毛。流线型的蛋壳构造还能减小风阻，丝毫不会影响行动。
132,3128,神圣狮鹫,RocoData??,source=PETBASE_CONF; desc=悬崖间的风往往跟加凶猛，崖间的狮鹫家族在这里锻炼出能抵抗风阻的飞行能力，身上的羽毛多为修长的硬羽而较少绒毛，在乱流里也稳住身形并快速调整航向。
133,3129,皇家狮鹫,RocoData??,source=PETBASE_CONF; desc=为了适应强风阻演化出了流线型的面部长羽，微微压住瞳孔是为了在崖间穿梭时更好地视物。尾羽更加修长，能够有效引导风的流动方向，让飞行更加省力和稳定。
134,3130,圆眼蜘蛛,RocoData??,source=PETBASE_CONF; desc=幼体的圆眼蜘蛛并不太能织网捕食，多以青草，树果为食。复眼获取信息范围极大，速度极快，即便是独眼，圆眼蜘蛛获取信息速度远超过洛克族100倍。
135,3131,尖角蜘蛛,RocoData??,source=PETBASE_CONF; desc=各关节都覆盖着绒毛，绒毛可以疏水和保暖。在湿滑的雨天也可以自由行走，世界的动态在它们眼里显得很慢，所以大部份尖角蜘蛛都是急性子。
